"Код","Артикул","Наименование","Полное наименование","Цена дил.","Цена роз.","Статус","Остаток","Заказ"
"Мобильные телефоны и аксессуары","","","","","","","",""
"Мобильные телефоны","","","","","","","",""
"42405","2201122G","Мобильный телефон Xiaomi 12 Pro 12GB RAM 256GB ROM Purple","Мобильный телефон, Xiaomi, 12 Pro 12GB 256GB, 6.73"" AMOLED, Аккумулятор 4600 мАч, 50MPx+50MPx+50MPx/32MPx, Snapdragon 8 Gen 1, Gorilla Glass Victus, NFC, HyperCharge 120W, (Purple) Фиолетовый","449990","449990","","1",""
"49819","2210129SG","Мобильный телефон Xiaomi 13 Lite 8GB RAM 256GB ROM Black","Мобильный телефон, Xiaomi, 13 Lite 8GB 256GB, 6.55"" FHD+AMOLED, Аккумулятор 4500 мАч, 50MPx+8MPx+2MPx/32MPx+8MPx, Snapdragon 7 Gen 1, Gorilla Glass 5, Fast Charge 67W, (Black) Чёрный","222000","259990","",">50",""
"49820","2210129SG","Мобильный телефон Xiaomi 13 Lite 8GB RAM 256GB ROM Lite Blue","Мобильный телефон, Xiaomi, 13 Lite 8GB 256GB, 6.55"" FHD+AMOLED, Аккумулятор 4500 мАч, 50MPx+8MPx+2MPx/32MPx+8MPx, Snapdragon 7 Gen 1, Gorilla Glass 5, Fast Charge 67W, (Lite Blue) Светло-синий","222000","259990","",">50",""
"50693","2210129SG","Мобильный телефон Xiaomi 13 Lite 8GB RAM 256GB ROM Lite Pink","Мобильный телефон, Xiaomi, 13 Lite 8GB 256GB, 6.55"" FHD+AMOLED, Аккумулятор 4500 мАч, 50MPx+8MPx+2MPx/32MPx+8MPx, Snapdragon 7 Gen 1, Gorilla Glass 5, Fast Charge 67W, (Lite Pink) Светло-розовый","222000","259990","",">50",""
"50384","2211133G","Мобильный телефон Xiaomi 13 8GB RAM 256GB ROM Black","Мобильный телефон, Xiaomi, 13 8GB 256GB, 6.36"" AMOLED, Аккумулятор 4500 мАч, 50MPx+10MPx+12MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass 5, NFC, Fast Charge 67W, (Black) Чёрный","439500","519990","","0",""
"50202","2211133G","Мобильный телефон Xiaomi 13 8GB RAM 256GB ROM White","Мобильный телефон, Xiaomi, 13 8GB 256GB, 6.36"" AMOLED, Аккумулятор 4500 мАч, 50MPx+10MPx+12MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass 5, NFC, Fast Charge 67W, (White) Белый","439500","519990","","0",""
"50812","2211133G","Мобильный телефон Xiaomi 13 8GB RAM 256GB ROM Flora Green","Мобильный телефон, Xiaomi, 13 8GB 256GB, 6.36"" AMOLED, Аккумулятор 4500 мАч, 50MPx+10MPx+12MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass 5, NFC, Fast Charge 67W, (Flora Green) Зелёный","439500","519990","","0",""
"50437","2211133G","Мобильный телефон Xiaomi 13 12GB RAM 256GB ROM Black","Мобильный телефон, Xiaomi, 13 12GB 256GB, 6.36"" AMOLED, Аккумулятор 4500 мАч, 50MPx+10MPx+12MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass 5, NFC, Fast Charge 67W, (Black) Чёрный","464500","549990","",">50",""
"50691","2211133G","Мобильный телефон Xiaomi 13 12GB RAM 256GB ROM White","Мобильный телефон, Xiaomi, 13 12GB 256GB, 6.36"" AMOLED, Аккумулятор 4500 мАч, 50MPx+10MPx+12MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass 5, NFC, Fast Charge 67W, (White) Белый","464500","549990","","33",""
"50692","2211133G","Мобильный телефон Xiaomi 13 12GB RAM 256GB ROM Flora Green","Мобильный телефон, Xiaomi, 13 12GB 256GB, 6.36"" AMOLED, Аккумулятор 4500 мАч, 50MPx+10MPx+12MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass 5, NFC, Fast Charge 67W, (Flora Green) Зелёный","464500","549990","",">50",""
"50203","2210132G","Мобильный телефон Xiaomi 13 Pro 12GB RAM 512GB ROM Ceramic Black","Мобильный телефон, Xiaomi, 13 Pro 12GB 512GB, 6.73"" AMOLED, Аккумулятор 4820 мАч, 50MPx+50MPx+50MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass Victus, NFC, HyperCharge 120W, (Ceramic Black) Чёрный","633500","749990","","46",""
"50204","2210132G","Мобильный телефон Xiaomi 13 Pro 12GB RAM 512GB ROM Ceramic White","Мобильный телефон, Xiaomi, 13 Pro 12GB 512GB, 6.73"" AMOLED, Аккумулятор 4820 мАч, 50MPx+50MPx+50MPx/32MPx, Snapdragon 8 Gen 2, Gorilla Glass Victus, NFC, HyperCharge 120W, (Ceramic White) Белый","633500","749990","","5",""
"44288","220333QPG","Мобильный телефон POCO C40 4GB RAM 64GB ROM Coral Green","Мобильный телефон, POCO, C40 4GB 64GB, 6.71"" HD+, Аккумулятор 6000 мАч, 13MPx+2MPx/5MPx, JLQ JR510, Gorilla Glass, Fast Charge 18W, (Coral Green) Зелёный","59990","59990","",">50",""
